Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image
SL4767-2,Blue cover up,Coverup,1,6,11,0,, exclusive,,,,,,,,,,,,,,
SL4768,Beachwear White Long,Coverup,1,8.8,14,0,, exclusive,,,,,,,,,,,,,,
SL4770-2,Kimono04,Coverup,2,9,14,0,, exclusive,,,,,,,,,,,,,,
SL4782-2,Lovely Day M,Swimwear,1,7.3,17,0,, exclusive,,,,,,,,,,,,,,
SL4792,Kylie,Swimwear,2,5.02,14,0,, exclusive,,,,,,,,,,,,,,
SL4793,Letter Print,Swimwear,2,5.4,15,0,, exclusive,,,,,,,,,,,,,,
SL4797,kylie02,Swimwear,2,5.02,14,0,, exclusive,,,,,,,,,,,,,,
SL4933,Halterneck pink blue-S,Swimwear,2,7.21,15,0,, exclusive,,,,,,,,,,,,,,
SL4937-5,Flora beach mat,Accessories,1,5.3,10,0,, exclusive,,,,,,,,,,,,,,
SL4949,Coverup,Coverup,1,8.37,14,0,, exclusive,,,,,,,,,,,,,,
SL4953-1,Embroidered cover up,Coverup,1,10,15,0,, exclusive,,,,,,,,,,,,,,
SL4954,Kimono,Coverup,1,7.41,13,0,, exclusive,,,,,,,,,,,,,,
SL4965,Cover up,Coverup,1,6.42,11,0,, exclusive,,,,,,,,,,,,,,
SL5006VD-1,Red Jumpsuit,Clothes,1,6.6,15,0,, exclusive,,,,,,,,,,,,,,
SL5006VD-3,Pink Jumpuit,Clothes,1,7,15,0,, exclusive,,,,,,,,,,,,,,
SL5006VD-4,V dress Black,Clothes,1,7,15,0,, exclusive,,,,,,,,,,,,,,
SL5008VD-1,Body Suit,Clothes,1,4.6,13,0,, exclusive,,,,,,,,,,,,,,
SL5009VD-1,White One pcs,Swimwear,1,6,15,0,, exclusive,,,,,,,,,,,,,,
SL5028KF,Plus size Black,Swimwear,1,6.4,16,0,, exclusive,,,,,,,,,,,,,,
SL5436KF,Front Cross one pcs,Swimwear,1,7.8,17,0,, exclusive,,,,,,,,,,,,,,
SL6189A-2,V neck jumpsuit Pink,Clothes,1,6.7,15,0,, exclusive,,,,,,,,,,,,,,
